,PatentNumber,IPC
501,WO2018138644-A2,C12N-000/00
502,WO2018138644-A2,C12N-007/00
503,US2018215823-A1,C07K-016/28
504,US2018215823-A1,A61K-039/00
505,WO2018138292-A1,A61K-038/49
506,WO2018138292-A1,A61P-027/16
507,CN108339017-A,A61K-036/752
508,CN108339017-A,A61P-031/12
509,CN108324715-A,A61K-031/44
510,CN108324715-A,A61P-031/14
511,WO2018135882-A1,A61K-041/00
512,WO2018135882-A1,G01N-033/545
513,WO2018134265-A1,A61K-031/4164
514,WO2018134265-A1,A61K-031/551
515,CN108318685-A,G01N-033/533
516,CN108318685-A,G01N-033/569
517,CN108315490-A,C12Q-001/70
518,CN108315490-A,C12Q-001/6848
519,CN108318686-A,G01N-033/569
520,CN108318686-A,C07K-014/165
521,CN108277298-A,C12Q-001/70
522,CN108277298-A,C12Q-001/686
523,WO2018129188-A1,A61K-047/68
524,WO2018129188-A1,A61K-047/69
525,WO2018129207-A1,A61K-047/68
526,WO2018129207-A1,A61K-047/69
527,WO2018129233-A1,A01N-025/06
528,WO2018129233-A1,A01N-043/36
529,WO2018129270-A1,A61K-038/00
530,WO2018129270-A1,A61K-039/00
531,KR2018078402-A,B01L-007/00
532,KR2018078402-A,C12Q-001/70
533,KR2018079136-A,A01N-025/28
534,KR2018079136-A,A01N-065/22
535,US2018185380-A1,A61K-031/5415
536,US2018185380-A1,A61K-031/65
537,WO2018115527-A2,A61K-039/215
538,WO2018115527-A2,A61K-039/00
539,WO2018116198-A1,A61K-039/395
540,WO2018116198-A1,C07K-016/00
541,WO2018112648-A1,A61K-038/06
542,WO2018112648-A1,A61K-038/55
543,RU2658351-C1,C12N-007/00
544,RU2658351-C1,A61K-039/215
545,US2018161381-A1,A61K-035/747
546,US2018161381-A1,A23L-033/00
547,WO2018107129-A1,C12N-015/09
548,WO2018107129-A1,C12N-015/10
549,US2018163230-A1,C12N-015/869
550,US2018163230-A1,A61K-039/12
551,US2018162835-A1,C07D-239/88
552,US2018162835-A1,C07D-401/06
553,CN108129366-A,A61K-031/16
554,CN108129366-A,A61K-031/166
555,WO2018097603-A2,A61K-039/215
556,WO2018097603-A2,A61K-039/39
557,WO2018098133-A1,C12N-015/11
558,WO2018098133-A1,C12N-015/85
559,CN108085417-A,C12N-015/11
560,CN108085417-A,C12Q-001/686
561,WO2018091965-A1,A61K-031/713
562,WO2018091965-A1,A61K-009/16
563,WO2018094241-A1,A61K-039/215
564,WO2018094241-A1,A61K-047/64
565,WO2018094403-A1,A61K-038/10
566,WO2018094403-A1,A61K-038/17
567,CN108060272-A,C12Q-001/70
568,CN108060272-A,C12Q-001/686
569,KR2018052317-A,C12Q-001/68
570,KR2018052317-A,C12Q-001/70
571,KR1857684-B1,C12Q-001/70
572,KR1857685-B1,C12Q-001/70
573,CN108018261-A,A61K-039/155
574,CN108018261-A,A61K-039/175
575,JP2018068193-A,A23L-002/39
576,CN107982357-A,A61K-036/85
577,CN107982357-A,A61P-031/16
578,WO2018081318-A1,A61K-039/12
579,US2018117116-A1,A61K-038/16
580,US2018117116-A1,C07K-014/005
581,CN107970446-A,A23K-010/18
582,CN107970446-A,A23K-010/20
583,WO2018073549-A1,A61K-031/351
584,WO2018073549-A1,A61K-031/352
585,AU2018202168-A1,A61K-031/47
586,AU2018202168-A1,A61K-039/00
587,CN107955839-A,C12Q-001/70
588,CN107955839-A,C12Q-001/686
589,KR2018040164-A,A23K-020/147
590,KR2018040164-A,A23K-020/195
591,EP3308786-A1,A61K-031/4439
592,EP3308786-A1,A61K-031/496
593,EP3305289-A1,A61K-031/357
594,EP3305289-A1,A61P-031/12
595,EP3305290-A1,A61K-031/357
596,EP3305290-A1,A61P-031/12
597,CN107880120-A,A61K-039/42
598,CN107880120-A,A61P-001/00
599,CN107875381-A,A61K-039/215
600,CN107875381-A,A61P-031/14
601,WO2018062954-A1,A61K-031/05
602,WO2018062954-A1,A61K-031/4427
603,US2018092932-A1,A61K-031/655
604,US2018092932-A1,A61K-031/7024
605,WO2018055040-A1,A61K-031/4439
606,WO2018055040-A1,A61P-011/00
607,WO2018057710-A1,A61K-035/74
608,WO2018057710-A1,A61K-045/06
609,US2018086818-A1,A61K-039/395
610,US2018086818-A1,A61K-039/42
611,CN107831317-A,G01N-033/68
612,CN107828706-A,A61K-039/215
613,CN107828706-A,A61K-039/225
614,WO2018053542-A1,C12Q-001/18
615,WO2018053542-A1,C12Q-001/66
616,WO2018051254-A1,A61K-031/4245
617,WO2018051254-A1,A61K-031/433
618,WO2018051255-A1,A61K-031/4245
619,WO2018051255-A1,A61K-031/433
620,CN107815440-A,C12N-007/00
621,CN107815440-A,A61K-039/215
622,CN107802656-A,A61K-035/744
623,CN107802656-A,A61P-031/14
624,WO2018042343-A2,A61K-031/4155
625,WO2018042343-A2,A61P-031/00
626,US2018066216-A1,A01N-025/26
627,US2018066216-A1,C11D-017/00
628,WO2018043733-A1,C12M-001/34
629,WO2018043733-A1,C12Q-001/04
630,CN207074216-U,G01N-033/569
631,WO2018038877-A1,A61K-031/535
632,WO2018038877-A1,A61P-031/12
633,US2018057488-A1,A61K-031/506
634,US2018057488-A1,A61K-045/06
635,RU2016133899-A,A61K-039/00
